province,province_new,city,city_new
BALI,Bali,KAB. ACEH BARAT,Aceh Barat
BANGKA BELITUNG,Bangka Belitung,KAB. ACEH BARAT DAYA,Aceh Barat Daya
BANTEN,Banten,KAB. ACEH BESAR,Aceh Besar
BENGKULU,Bengkulu,KAB. ACEH JAYA,Aceh Jaya
DI YOGYAKARTA,Daerah Istimewa Yogyakarta,KAB. ACEH SELATAN,Aceh Selatan
DKI JAKARTA,DKI Jakarta,KAB. ACEH SINGKIL,Aceh Singkil
GORONTALO,Gorontalo,KAB. ACEH TAMIANG,Aceh Tamiang
JAMBI,Jambi,KAB. ACEH TENGAH,Aceh Tengah
JAWA BARAT,Jawa Barat,KAB. ACEH TIMUR,Aceh Timur
JAWA TENGAH,Jawa Tengah,KAB. ACEH UTARA,Aceh Utara
JAWA TIMUR,Jawa Timur,KAB. AGAM,Agam
KALIMANTAN BARAT,Kalimantan Barat,KAB. ASAHAN,Asahan
KALIMANTAN SELATAN,Kalimantan Selatan,KAB. BADUNG,Badung
KALIMANTAN TENGAH,Kalimantan Tengah,KAB. BALANGAN,Balangan
KALIMANTAN TIMUR,Kalimantan Timur,KAB. BANDUNG,Bandung
KALIMANTAN UTARA,Kalimantan Utara,KAB. BANDUNG BARAT,Bandung Barat
KEPULAUAN RIAU,Kepulauan Riau,KAB. BANGGAI,Banggai
LAMPUNG,Lampung,KAB. BANGGAI LAUT,Banggai Laut
MALUKU,Maluku,KAB. BANGKA,Bangka
MALUKU UTARA,Maluku Utara,KAB. BANGKA BARAT,Bangka Barat
NANGGROE ACEH DARUSSALAM (NAD),Nanggroe Aceh Darussalam,KAB. BANGKA SELATAN,Bangka Selatan
NUSA TENGGARA BARAT (NTB),Nusa Tenggara Barat,KAB. BANGKA TENGAH,Bangka Tengah
NUSA TENGGARA TIMUR (NTT),Nusa Tenggara Timur,KAB. BANGKALAN,Bangkalan
PAPUA,Papua,KAB. BANGLI,Bangli
PAPUA BARAT,Papua Barat,KAB. BANJAR,Banjar
RIAU,Riau,KAB. BANJARNEGARA,Banjarnegara
SULAWESI BARAT,Sulawesi Barat,KAB. BANTAENG,Bantaeng
SULAWESI SELATAN,Sulawesi Selatan,KAB. BANTUL,Bantul
SULAWESI TENGAH,Sulawesi Tengah,KAB. BANYUASIN,Banyuasin
SULAWESI TENGGARA,Sulawesi Tenggara,KAB. BANYUMAS,Banyumas
SULAWESI UTARA,Sulawesi Utara,KAB. BANYUWANGI,Banyuwangi
SUMATERA BARAT,Sumatera Barat,KAB. BARITO KUALA,Barito Kuala
SUMATERA SELATAN,Sumatera Selatan,KAB. BARITO SELATAN,Barito Selatan
SUMATERA UTARA,Sumatera Utara,KAB. BARITO TIMUR,Barito Timur
,,KAB. BARITO UTARA,Barito Utara
,,KAB. BARRU,Barru
,,KAB. BATANG,Batang
,,KAB. BATANG HARI,Batanghari
,,KAB. BATU BARA,Batubara
,,KAB. BEKASI,Bekasi
,,KAB. BELITUNG,Belitung
,,KAB. BELITUNG TIMUR,Belitung Timur
,,KAB. BENER MERIAH,Bener Meriah
,,KAB. BENGKALIS,Bengkalis
,,KAB. BENGKAYANG,Bengkayang
,,KAB. BENGKULU SELATAN,Bengkulu Selatan
,,KAB. BENGKULU UTARA,Bengkulu Utara
,,KAB. BERAU,Berau
,,KAB. BIMA,Bima
,,KAB. BINTAN,Bintan
,,KAB. BIREUEN,Bireuen
,,KAB. BLITAR,Blitar
,,KAB. BLORA,Blora
,,KAB. BOALEMO,Boalemo
,,KAB. BOGOR,Bogor
,,KAB. BOJONEGORO,Bojonegoro
,,KAB. BOLAANG MONGONDOW (BOLMONG),Bolaang Mongondow
,,KAB. BOLAANG MONGONDOW SELATAN,Bolaang Mongondow Selatan
,,KAB. BOLAANG MONGONDOW TIMUR,Bolaang Mongondow Timur
,,KAB. BOLAANG MONGONDOW UTARA,Bolaang Mongondow Utara
,,KAB. BONDOWOSO,Bondowoso
,,KAB. BONE,Bone
,,KAB. BONE BOLANGO,Bone Bolango
,,KAB. BOYOLALI,Boyolali
,,KAB. BREBES,Brebes
,,KAB. BULELENG,Buleleng
,,KAB. BULUKUMBA,Bulukumba
,,KAB. BULUNGAN (BULONGAN),Bulungan
,,KAB. BUNGO,Bungo
,,KAB. BUOL,Buol
,,KAB. CIAMIS,Ciamis
,,KAB. CIANJUR,Cianjur
,,KAB. CILACAP,Cilacap
,,KAB. CIREBON,Cirebon
,,KAB. DAIRI,Dairi
,,KAB. DELI SERDANG,Deli Serdang
,,KAB. DEMAK,Demak
,,KAB. DHARMASRAYA,Dharmasraya
,,KAB. DOMPU,Dompu
,,KAB. DONGGALA,Donggala
,,KAB. EMPAT LAWANG,Empat Lawang
,,KAB. ENDE,Ende
,,KAB. ENREKANG,Enrekang
,,KAB. GARUT,Garut
,,KAB. GAYO LUES,Gayo Lues
,,KAB. GIANYAR,Gianyar
,,KAB. GORONTALO,Gorontalo
,,KAB. GORONTALO UTARA,Gorontalo Utara
,,KAB. GOWA,Gowa
,,KAB. GRESIK,Gresik
,,KAB. GROBOGAN,Grobogan
,,KAB. GUNUNG KIDUL,Gunungkidul
,,KAB. GUNUNG MAS,Gunung Mas
,,KAB. HALMAHERA TENGAH,Halmahera Tengah
,,KAB. HALMAHERA TIMUR,Halmahera Timur
,,KAB. HALMAHERA UTARA,Halmahera Utara
,,KAB. HULU SUNGAI SELATAN,Hulu Sungai Selatan
,,KAB. HULU SUNGAI TENGAH,Hulu Sungai Tengah
,,KAB. HULU SUNGAI UTARA,Hulu Sungai Utara
,,KAB. HUMBANG HASUNDUTAN,Humbang Hasundutan
,,KAB. INDRAGIRI HILIR,Indragiri Hilir
,,KAB. INDRAGIRI HULU,Indragiri Hulu
,,KAB. INDRAMAYU,Indramayu
,,KAB. JAYAWIJAYA,Jayawijaya
,,KAB. JEMBER,Jember
,,KAB. JEMBRANA,Jembrana
,,KAB. JENEPONTO,Jeneponto
,,KAB. JEPARA,Jepara
,,KAB. JOMBANG,Jombang
,,KAB. KAMPAR,Kampar
,,KAB. KAPUAS,Kapuas
,,KAB. KAPUAS HULU,Kapuas Hulu
,,KAB. KARANGANYAR,Karanganyar
,,KAB. KARANGASEM,Karangasem
,,KAB. KARAWANG,Karawang
,,KAB. KARIMUN,Karimun
,,KAB. KARO,Karo
,,KAB. KATINGAN,Katingan
,,KAB. KAUR,Kaur
,,KAB. KAYONG UTARA,Kayong Utara
,,KAB. KEBUMEN,Kebumen
,,KAB. KEDIRI,Kediri
,,KAB. KENDAL,Kendal
,,KAB. KEPAHIANG,Kepahiang
,,KAB. KEPULAUAN ANAMBAS,Kepulauan Anambas
,,KAB. KEPULAUAN MENTAWAI,Kepulauan Mentawai
,,KAB. KEPULAUAN MERANTI,Kepulauan Meranti
,,KAB. KEPULAUAN SERIBU,Kepulauan Seribu
,,KAB. KEPULAUAN SIAU TAGULANDANG BIARO (SITARO),Kepulauan Siau Tagulandang Biaro
,,KAB. KEPULAUAN TALAUD,Kepulauan Talaud
,,KAB. KERINCI,Kerinci
,,KAB. KETAPANG,Ketapang
,,KAB. KLATEN,Klaten
,,KAB. KLUNGKUNG,Klungkung
,,KAB. KOLAKA,Kolaka
,,KAB. KOLAKA TIMUR,Kolaka Timur
,,KAB. KOLAKA UTARA,Kolaka Utara
,,KAB. KONAWE SELATAN,Konawe Selatan
,,KAB. KONAWE UTARA,Konawe Utara
,,KAB. KOTA BARU,Kotabaru
,,KAB. KOTA WARINGIN BARAT,Kotawaringin Barat
,,KAB. KOTA WARINGIN TIMUR,Kotawaringin Timur
