order_id,product_category
ORD_0000001,Celengan
ORD_0000002,Celengan
ORD_0000003,Celengan
ORD_0000004,"Mangkok Sambal / Saus"
ORD_0000005,Keranjang
ORD_0000005,Other
ORD_0000005,"Tempat Nasi"
ORD_0000006,Celengan
ORD_0000007,"Nampan / Tray"
ORD_0000008,Celengan
ORD_0000009,Celengan
ORD_0000010,"Aksesoris Mandi"
ORD_0000010,Celengan
ORD_0000010,Keranjang
ORD_0000011,Celengan
ORD_0000012,Celengan
ORD_0000013,"Toples / Sealware"
ORD_0000014,"Mangkok Sambal / Saus"
ORD_0000015,"Mangkok Sambal / Saus"
ORD_0000016,Celengan
ORD_0000017,Celengan
ORD_0000018,Other
ORD_0000019,Celengan
ORD_0000019,"Peralatan Kamar Mandi"
ORD_0000020,"Nampan / Tray"
ORD_0000021,"Mangkok Sambal / Saus"
ORD_0000022,"Rak / Rak Serbaguna"
ORD_0000023,"Rak / Rak Serbaguna"
ORD_0000024,Keranjang
ORD_0000025,"Nampan / Tray"
ORD_0000026,"Mangkok Sambal / Saus"
ORD_0000027,"Toples / Sealware"
ORD_0000028,Keranjang
ORD_0000029,Keranjang
ORD_0000030,Celengan
ORD_0000031,"Mangkok Sambal / Saus"
ORD_0000032,"Perlengkapan Packing"
ORD_0000032,"Toples / Sealware"
ORD_0000033,"Mangkok Sambal / Saus"
ORD_0000034,Celengan
ORD_0000035,"Plastik / Wadah Plastik"
ORD_0000036,"Mangkok Sambal / Saus"
ORD_0000037,Celengan
ORD_0000037,Other
ORD_0000038,"Plastik / Wadah Plastik"
ORD_0000039,"Rak / Rak Serbaguna"
ORD_0000040,"Stempel / Alat Kantor"
ORD_0000041,"Stempel / Alat Kantor"
ORD_0000042,Celengan
ORD_0000043,Celengan
ORD_0000044,Celengan
ORD_0000045,"Mangkok Sambal / Saus"
ORD_0000046,"Mangkok Sambal / Saus"
ORD_0000047,Celengan
ORD_0000048,"Rak / Rak Serbaguna"
ORD_0000049,Celengan
ORD_0000050,Celengan
ORD_0000051,Celengan
ORD_0000052,Celengan
ORD_0000053,"Mangkok Sambal / Saus"
ORD_0000054,"Rak / Rak Serbaguna"
ORD_0000055,"Rak / Rak Serbaguna"
ORD_0000056,"Rak / Rak Serbaguna"
ORD_0000057,Celengan
ORD_0000057,"Plastik / Wadah Plastik"
ORD_0000058,Celengan
ORD_0000059,Celengan
ORD_0000060,Celengan
ORD_0000061,Celengan
ORD_0000062,Celengan
ORD_0000063,Celengan
ORD_0000064,Celengan
ORD_0000065,"Stempel / Alat Kantor"
ORD_0000066,Celengan
ORD_0000067,Celengan
ORD_0000068,"Mangkok Sambal / Saus"
ORD_0000069,Celengan
ORD_0000070,Celengan
ORD_0000071,Other
ORD_0000072,Celengan
ORD_0000073,Celengan
ORD_0000074,Celengan
ORD_0000075,"Aksesoris ID Card"
ORD_0000075,"Bangku / Kursi Kecil"
ORD_0000075,"Botol / Gelas / Mug"
ORD_0000075,"Mangkok Sambal / Saus"
ORD_0000075,"Nampan / Tray"
ORD_0000075,"Peralatan Makan"
ORD_0000075,"Perlengkapan Packing"
ORD_0000075,"Plastik / Wadah Plastik"
ORD_0000075,"Saringan / Strainer"
ORD_0000075,Talenan
ORD_0000075,"Toples / Sealware"
ORD_0000076,"Mangkok Sambal / Saus"
ORD_0000077,"Mangkok Sambal / Saus"
ORD_0000078,Keranjang
ORD_0000079,Celengan
ORD_0000080,Celengan
ORD_0000081,"Mangkok Sambal / Saus"
ORD_0000082,"Mangkok Sambal / Saus"
ORD_0000083,Celengan
ORD_0000084,Celengan
ORD_0000085,Celengan
ORD_0000086,"Nampan / Tray"
ORD_0000087,Celengan
ORD_0000088,Celengan
ORD_0000089,Celengan
ORD_0000090,Celengan
ORD_0000091,"Peralatan Kamar Mandi"
ORD_0000093,Celengan
ORD_0000093,Other
ORD_0000094,Other
ORD_0000095,Celengan
ORD_0000096,Celengan
ORD_0000097,Celengan
ORD_0000098,Celengan
ORD_0000099,Celengan
ORD_0000100,Celengan
ORD_0000101,Celengan
ORD_0000102,Celengan
ORD_0000105,"Mangkok Sambal / Saus"
ORD_0000106,Celengan
ORD_0000107,"Nampan / Tray"
ORD_0000107,"Plastik / Wadah Plastik"
ORD_0000108,"Lunch Box / Rantang"
ORD_0000109,"Mangkok Sambal / Saus"
ORD_0000110,Celengan
ORD_0000111,Celengan
ORD_0000112,Celengan
ORD_0000113,Celengan
ORD_0000114,Other
ORD_0000115,Celengan
ORD_0000116,Celengan
ORD_0000117,Celengan
ORD_0000118,Celengan
ORD_0000119,Celengan
ORD_0000120,"Mangkok Sambal / Saus"
ORD_0000121,Celengan
ORD_0000122,Celengan
ORD_0000123,Keranjang
ORD_0000124,Celengan
ORD_0000125,Celengan
ORD_0000126,"Mangkok Sambal / Saus"
ORD_0000127,Celengan
ORD_0000128,Celengan
ORD_0000129,"Peralatan Kamar Mandi"
ORD_0000129,"Perlengkapan Packing"
ORD_0000130,Celengan
ORD_0000131,"Perlengkapan Packing"
ORD_0000133,"Mangkok Sambal / Saus"
ORD_0000134,Celengan
ORD_0000135,Celengan
ORD_0000136,"Aksesoris Mandi"
ORD_0000136,Keranjang
ORD_0000137,"Rak / Rak Serbaguna"
ORD_0000139,Celengan
ORD_0000140,Celengan
ORD_0000141,Celengan
ORD_0000142,Celengan
ORD_0000143,Celengan
ORD_0000144,Celengan
ORD_0000145,Celengan
ORD_0000146,"Nampan / Tray"
ORD_0000147,"Mangkok Sambal / Saus"
ORD_0000149,Celengan
ORD_0000150,Celengan
ORD_0000151,Celengan
ORD_0000152,Celengan
ORD_0000153,Celengan
ORD_0000154,"Lunch Box / Rantang"
ORD_0000155,"Rak / Rak Serbaguna"
ORD_0000156,Celengan
ORD_0000157,Celengan
ORD_0000158,"Nampan / Tray"
ORD_0000159,"Stempel / Alat Kantor"
ORD_0000160,"Mangkok Sambal / Saus"
ORD_0000161,"Plastik / Wadah Plastik"
ORD_0000162,"Mangkok Sambal / Saus"
ORD_0000163,"Mangkok Sambal / Saus"
ORD_0000164,Celengan
ORD_0000165,Celengan
ORD_0000166,Celengan
ORD_0000167,"Lunch Box / Rantang"
ORD_0000168,Celengan
ORD_0000169,Celengan
ORD_0000170,Celengan
ORD_0000171,Celengan
ORD_0000172,"Mangkok Sambal / Saus"
ORD_0000173,Celengan
ORD_0000173,"Perlengkapan Packing"
ORD_0000174,Celengan
ORD_0000175,Other
ORD_0000176,Celengan
ORD_0000177,"Perlengkapan Packing"
ORD_0000178,Celengan
ORD_0000179,Celengan
ORD_0000180,Celengan
ORD_0000181,Celengan
ORD_0000182,Celengan
ORD_0000183,"Mangkok Sambal / Saus"
ORD_0000184,"Botol / Gelas / Mug"
ORD_0000184,Celengan
ORD_0000184,"Nampan / Tray"
ORD_0000185,Celengan
ORD_0000186,Celengan
ORD_0000187,Celengan
ORD_0000188,Celengan
ORD_0000189,Celengan
ORD_0000190,Celengan
ORD_0000191,Celengan
ORD_0000192,Celengan
ORD_0000193,Celengan
ORD_0000194,Celengan
ORD_0000195,Mangkok
ORD_0000196,"Lunch Box / Rantang"
ORD_0000197,"Mangkok Sambal / Saus"
ORD_0000198,Celengan
ORD_0000199,Celengan
ORD_0000200,Celengan
ORD_0000200,"Perlengkapan Packing"
ORD_0000201,Celengan
ORD_0000202,"Seal / Baut / Roof"
ORD_0000203,Celengan
ORD_0000204,Celengan
ORD_0000205,"Mangkok Sambal / Saus"
ORD_0000206,Celengan
ORD_0000207,"Rak / Rak Serbaguna"
ORD_0000208,Celengan
ORD_0000209,Celengan
ORD_0000210,Celengan
ORD_0000211,Celengan
ORD_0000212,Celengan
ORD_0000213,"Mangkok Sambal / Saus"
